zip,type,primary_city,state,country,latitude,longitude
501,UNIQUE,Holtsville,NY,US,40.81,-73.04
544,UNIQUE,Holtsville,NY,US,40.81,-73.04
601,STANDARD,Adjuntas,PR,US,18.16,-66.72
602,STANDARD,Aguada,PR,US,18.38,-67.18
603,STANDARD,Aguadilla,PR,US,18.43,-67.15
604,PO BOX,Aguadilla,PR,US,18.43,-67.15
605,PO BOX,Aguadilla,PR,US,18.43,-67.15
606,STANDARD,Maricao,PR,US,18.18,-66.98
610,STANDARD,Anasco,PR,US,18.28,-67.14
611,PO BOX,Angeles,PR,US,18.28,-66.79
612,STANDARD,Arecibo,PR,US,18.45,-66.73
613,PO BOX,Arecibo,PR,US,18.45,-66.73
614,PO BOX,Arecibo,PR,US,18.45,-66.73
616,STANDARD,Bajadero,PR,US,18.42,-66.67
617,STANDARD,Barceloneta,PR,US,18.45,-66.56
622,STANDARD,Boqueron,PR,US,17.99,-67.15
623,STANDARD,Cabo Rojo,PR,US,18.08,-67.14
624,STANDARD,Penuelas,PR,US,18.06,-66.72
627,STANDARD,Camuy,PR,US,18.48,-66.84
631,PO BOX,Castaner,PR,US,18.19,-66.82
636,PO BOX,Rosario,PR,US,18.15,-67.06
637,STANDARD,Sabana Grande,PR,US,18.08,-66.96
638,STANDARD,Ciales,PR,US,18.33,-66.47
641,STANDARD,Utuado,PR,US,18.27,-66.7
646,STANDARD,Dorado,PR,US,18.47,-66.27
647,STANDARD,Ensenada,PR,US,17.96,-66.94
650,STANDARD,Florida,PR,US,18.36,-66.56
652,STANDARD,Garrochales,PR,US,18.45,-66.6
653,STANDARD,Guanica,PR,US,17.99,-66.89
656,STANDARD,Guayanilla,PR,US,18.02,-66.79
659,STANDARD,Hatillo,PR,US,18.48,-66.82
660,STANDARD,Hormigueros,PR,US,18.14,-67.12
662,STANDARD,Isabela,PR,US,18.5,-67.02
664,STANDARD,Jayuya,PR,US,18.22,-66.59
667,STANDARD,Lajas,PR,US,18.04,-67.06
669,STANDARD,Lares,PR,US,18.29,-66.88
670,STANDARD,Las Marias,PR,US,18.27,-67.06
674,STANDARD,Manati,PR,US,18.43,-66.48
676,STANDARD,Moca,PR,US,18.39,-67.11
677,STANDARD,Rincon,PR,US,18.34,-67.25
678,STANDARD,Quebradillas,PR,US,18.47,-66.93
680,STANDARD,Mayaguez,PR,US,18.2,-67.14
681,PO BOX,Mayaguez,PR,US,18.2,-67.14
682,STANDARD,Mayaguez,PR,US,18.22,-67.16
683,STANDARD,San German,PR,US,18.08,-67.04
685,STANDARD,San Sebastian,PR,US,18.33,-66.99
687,STANDARD,Morovis,PR,US,18.32,-66.4
688,STANDARD,Sabana Hoyos,PR,US,18.38,-66.62
690,STANDARD,San Antonio,PR,US,18.49,-67.09
692,STANDARD,Vega Alta,PR,US,18.41,-66.32
693,STANDARD,Vega Baja,PR,US,18.44,-66.39
694,PO BOX,Vega Baja,PR,US,18.48,-66.39
698,STANDARD,Yauco,PR,US,18.03,-66.86
703,STANDARD,Aguas Buenas,PR,US,18.25,-66.1
704,STANDARD,Aguirre,PR,US,17.96,-66.22
705,STANDARD,Aibonito,PR,US,18.14,-66.26
707,STANDARD,Maunabo,PR,US,18,-65.9
714,STANDARD,Arroyo,PR,US,17.97,-66.06
715,STANDARD,Mercedita,PR,US,18.01,-66.56
716,STANDARD,Ponce,PR,US,17.98,-66.6
717,STANDARD,Ponce,PR,US,18,-66.61
718,STANDARD,Naguabo,PR,US,18.21,-65.73
719,STANDARD,Naranjito,PR,US,18.3,-66.24
720,STANDARD,Orocovis,PR,US,18.22,-66.39
721,PO BOX,Palmer,PR,US,18.37,-65.77
723,STANDARD,Patillas,PR,US,18,-66.01
725,STANDARD,Caguas,PR,US,18.23,-66.03
726,PO BOX,Caguas,PR,US,18.23,-66.03
727,STANDARD,Caguas,PR,US,18.22,-66.07
728,STANDARD,Ponce,PR,US,17.99,-66.66
729,STANDARD,Canovanas,PR,US,18.37,-65.9
730,STANDARD,Ponce,PR,US,18.03,-66.62
731,STANDARD,Ponce,PR,US,18.11,-66.63
732,PO BOX,Ponce,PR,US,17.98,-66.6
733,PO BOX,Ponce,PR,US,17.98,-66.6
734,PO BOX,Ponce,PR,US,17.98,-66.6
735,STANDARD,Ceiba,PR,US,18.25,-65.68
